画像,カード名,カードタイプ,マナコスト,カードテキスト,パワー,タフネス,レアリティ
Geological Appraiser,Creature — Human Artificer,{2}{R}{R},"When Geological Appraiser enters the battlefield, if you cast it, discover 3. (Exile cards from the top of your library until you exile a nonland card with mana value 3 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",3,2,Uncommon,https://cards.scryfall.io/large/front/7/f/7f9c1a82-695b-4df2-8e51-2d71a62e7baf.jpg?1699044284
Goblin Tomb Raider,Creature — Goblin Pirate,{R},"As long as you control an artifact, Goblin Tomb Raider gets +1/+0 and has haste.",1,2,Common,https://cards.scryfall.io/large/front/0/1/018160fe-f602-43f5-8495-241a08eaa69c.jpg?1699044289
Goldfury Strider,Artifact Creature — Golem,{4}{R},"Trample

Tap two untapped artifacts and/or creatures you control: Target creature gets +2/+0 until end of turn. Activate only as a sorcery.",3,5,Uncommon,https://cards.scryfall.io/large/front/4/1/415904fe-b77f-4c1a-850f-688484d629e6.jpg?1699044290
Hit the Mother Lode,Sorcery,{4}{R}{R}{R},"Discover 10. If the discovered card’s mana value is less than 10, create a number of tapped Treasure tokens equal to the difference. (To discover 10, exile cards from the top of your library until you exile a nonland card with mana value 10 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",,,Rare,https://cards.scryfall.io/large/front/e/7/e75f460c-43e2-4353-8b73-71ff8651a79d.jpg?1699044293
Hotfoot Gnome,Artifact Creature — Gnome,{2}{R},"Haste

{T}: Another target creature gains haste until end of turn.",3,1,Common,https://cards.scryfall.io/large/front/8/7/87468b6b-6f78-42e4-ab0d-6730aeecdc3f.jpg?1699044297
Idol of the Deep King,Artifact,{2}{R},"Flash

When Idol of the Deep King enters the battlefield, it deals 2 damage to any target.

Craft with artifact {2}{R} ({2}{R}, Exile this artifact, Exile another artifact you control or an artifact card from your graveyard: Return this card transformed under its owner’s control. Craft only as a sorcery.)",,,Common,https://cards.scryfall.io/large/front/d/1/d1d8d8ef-c8b2-4e7c-89e4-b381dff20584.jpg?1699044303
Sovereign's Macuahuitl,"Color Indicator: Red
          Artifact — Equipment",,"When Sovereign’s Macuahuitl enters the battlefield, attach it to target creature you control.

Equipped creature gets +2/+0.

Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",,,Common,https://cards.scryfall.io/large/back/d/1/d1d8d8ef-c8b2-4e7c-89e4-b381dff20584.jpg?1699044303
"Inti, Seneschal of the Sun",Legendary Creature — Human Knight,{1}{R},"Whenever you attack, you may discard a card. When you do, put a +1/+1 counter on target attacking creature. It gains trample until end of turn.

Whenever you discard one or more cards, exile the top card of your library. You may play that card until your next end step.",2,2,Rare,https://cards.scryfall.io/large/front/f/a/fa7a55aa-ae61-4933-b7a4-dcc55dac6fcd.jpg?1699044306
Magmatic Galleon,Artifact — Vehicle,{3}{R}{R},"When Magmatic Galleon enters the battlefield, it deals 5 damage to target creature an opponent controls.

Whenever one or more creatures your opponents control are dealt excess noncombat damage, create a Treasure token.

Crew 2",5,5,Rare,https://cards.scryfall.io/large/front/4/4/4471a833-11b9-4146-a9c0-84a6896c94d8.jpg?1699044307
"Ojer Axonil, Deepest Might",Legendary Creature — God,{2}{R}{R},"Trample

If a red source you control would deal an amount of noncombat damage less than Ojer Axonil’s power to an opponent, that source deals damage equal to Ojer Axonil’s power instead.

When Ojer Axonil dies, return it to the battlefield tapped and transformed under its owner’s control.",4,4,Mythic Rare,https://cards.scryfall.io/large/front/5/0/50f8e2b6-98c7-4f28-bb39-e1fbe841f1ee.jpg?1699044315
Temple of Power,Land,,"(Transforms from Ojer Axonil, Deepest Might.)

{T}: Add {R}.

{2}{R}, {T}: Transform Temple of Power. Activate only if red sources you controlled dealt 4 or more noncombat damage this turn and only as a sorcery.",4,4,Mythic Rare,https://cards.scryfall.io/large/back/5/0/50f8e2b6-98c7-4f28-bb39-e1fbe841f1ee.jpg?1699044315
Panicked Altisaur,Creature — Dinosaur,{4}{R},"Reach

{T}: Panicked Altisaur deals 2 damage to each opponent.",4,5,Common,https://cards.scryfall.io/large/front/a/d/ad371c97-a266-4a88-9d28-2e889a37ba00.jpg?1699044315
Plundering Pirate,Creature — Orc Pirate,{2}{R},"When Plundering Pirate enters the battlefield, create a Treasure token. (It’s an artifact with “{T}, Sacrifice this artifact: Add one mana of any color.”)",3,2,Common,https://cards.scryfall.io/large/front/5/b/5bb2552f-8370-4931-83e1-93706d51413a.jpg?1699044322
Poetic Ingenuity,Enchantment,{2}{R},"Whenever one or more Dinosaurs you control attack, create that many Treasure tokens.

Whenever you cast an artifact spell, create a 3/1 red Dinosaur creature token. This ability triggers only once each turn.",,,Rare,https://cards.scryfall.io/large/front/c/0/c035250e-6f6e-4d0f-b4fd-2a53d6069aa7.jpg?1699044323
Rampaging Ceratops,Creature — Dinosaur,{4}{R},Rampaging Ceratops can’t be blocked except by three or more creatures.,5,4,Uncommon,https://cards.scryfall.io/large/front/8/b/8bab3f8f-cb06-466d-a35d-0b5e1a2b524c.jpg?1699044324
Rumbling Rockslide,Sorcery,{3}{R},Rumbling Rockslide deals damage to target creature equal to the number of lands you control.,,,Common,https://cards.scryfall.io/large/front/4/f/4f06b53f-ec82-4d7f-bee3-6ca04583f023.jpg?1699044331
Saheeli's Lattice,Artifact,{1}{R},"When Saheeli’s Lattice enters the battlefield, you may discard a card. If you do, draw two cards.

Craft with one or more Dinosaurs {4}{R} ({4}{R}, Exile this artifact, Exile one or more Dinosaurs you control and/or Dinosaur cards from your graveyard: Return this card transformed under its owner’s control. Craft only as a sorcery.)",*,4,Uncommon,https://cards.scryfall.io/large/front/0/b/0bdc79c6-1193-46bd-931d-2c2a0381e420.jpg?1699044333
Mastercraft Raptor,"Color Indicator: Red
          Artifact Creature — Dinosaur",,Mastercraft Raptor’s power is equal to the total power of the exiled cards used to craft it.,*,4,Uncommon,https://cards.scryfall.io/large/back/0/b/0bdc79c6-1193-46bd-931d-2c2a0381e420.jpg?1699044333
Scytheclaw Raptor,Creature — Dinosaur,{2}{R},"Whenever a player casts a spell, if it’s not their turn, Scytheclaw Raptor deals 4 damage to them.",4,3,Uncommon,https://cards.scryfall.io/large/front/9/4/9436cf62-56d6-4662-9982-72e9be80d25c.jpg?1699044339
Seismic Monstrosaur,Creature — Dinosaur,{4}{R}{R},"Trample

{2}{R}, Sacrifice a land: Draw a card.

Mountaincycling {2} ({2}, Discard this card: Search your library for a Mountain card, reveal it, put it into your hand, then shuffle.)",6,5,Common,https://cards.scryfall.io/large/front/9/8/98aeb9dc-18f9-4120-ac3d-226c62a1dc1d.jpg?1699044339
Sunfire Torch,Artifact — Equipment,{R},"Equipped creature gets +1/+0 and has “Whenever this creature attacks, you may sacrifice Sunfire Torch. When you do, this creature deals 2 damage to any target.”

Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",,,Common,https://cards.scryfall.io/large/front/b/b/bb040fc7-f728-4482-92af-9a320c03bb54.jpg?1699044342
Sunshot Militia,Creature — Human Soldier,{1}{R},Tap two untapped artifacts and/or creatures you control: Sunshot Militia deals 1 damage to each opponent. Activate only as a sorcery.,1,3,Common,https://cards.scryfall.io/large/front/d/3/d3114f5c-21e9-43c3-abe3-3cf1da20916f.jpg?1699044348
Tectonic Hazard,Sorcery,{R},Tectonic Hazard deals 1 damage to each opponent and each creature they control.,,,Common,https://cards.scryfall.io/large/front/5/2/5204c781-f568-4c7f-b3f7-ce4dd678689b.jpg?1699044348
Triumphant Chomp,Sorcery,{R},"Triumphant Chomp deals damage to target creature equal to 2 or the greatest power among Dinosaurs you control, whichever is greater.",,,Uncommon,https://cards.scryfall.io/large/front/0/6/06b28139-efa7-4818-a012-cf8150692b43.jpg?1699044351
Trumpeting Carnosaur,Creature — Dinosaur,{4}{R}{R},"Trample

When Trumpeting Carnosaur enters the battlefield, discover 5.

{2}{R}, Discard Trumpeting Carnosaur: It deals 3 damage to target creature or planeswalker.",7,6,Rare,https://cards.scryfall.io/large/front/e/d/edc035ca-f0a3-4814-9405-d6dc6f048315.jpg?1699044357
Volatile Wanderglyph,Artifact Creature — Golem,{1}{R},"Whenever Volatile Wanderglyph becomes tapped, you may discard a card. If you do, draw a card.",2,2,Common,https://cards.scryfall.io/large/front/2/1/2101921a-d26f-4a00-a0db-1b418f2e6b01.jpg?1699044357
Zoyowa's Justice,Instant,{1}{R},"The owner of target artifact or creature with mana value 1 or greater shuffles it into their library. Then that player discovers X, where X is its mana value. (They exile cards from the top of their library until they exile a nonland card with that mana value or less. They cast it without paying its mana cost or put it into their hand. They put the rest on the bottom in a random order.)",,,Uncommon,https://cards.scryfall.io/large/front/0/4/04839717-d2f9-481d-9d13-e4038dbcbb0e.jpg?1699044361
Armored Kincaller,Creature — Dinosaur,{2}{G},"When Armored Kincaller enters the battlefield, you may reveal a Dinosaur card from your hand. If you do or if you control another Dinosaur, you gain 3 life.",3,3,Common,https://cards.scryfall.io/large/front/b/7/b76a46a1-a63e-460a-98c5-699dd1c827aa.jpg?1699044365
Basking Capybara,Creature — Capybara,{1}{G},Descend 4 — Basking Capybara gets +3/+0 as long as there are four or more permanent cards in your graveyard.,1,3,Common,https://cards.scryfall.io/large/front/f/f/ff0a2ba4-dfa8-49d6-95e9-04b7a14d0c6c.jpg?1699044367
Bedrock Tortoise,Creature — Turtle,{3}{G},"As long as it’s your turn, creatures you control have hexproof.

Each creature you control with toughness greater than its power assigns combat damage equal to its toughness rather than its power.",0,6,Rare,https://cards.scryfall.io/large/front/7/0/701bd623-3100-44dc-adec-53fa3a95ab19.jpg?1699044371
Cavern Stomper,Creature — Dinosaur,{4}{G}{G},"When Cavern Stomper enters the battlefield, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)

{3}{G}: Cavern Stomper can’t be blocked by creatures with power 2 or less this turn.",7,7,Common,https://cards.scryfall.io/large/front/d/e/decdfd6b-55ab-47fd-9f98-1845261f1caf.jpg?1699044374
Cenote Scout,Creature — Merfolk Scout,{G},"When Cenote Scout enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it’s a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",1,1,Uncommon,https://cards.scryfall.io/large/front/4/c/4ce4b7bc-636b-4723-a7c1-2c859f333492.jpg?1699044377
Coati Scavenger,Creature — Raccoon,{2}{G},"Descend 4 — When Coati Scavenger enters the battlefield, if there are four or more permanent cards in your graveyard, return target permanent card from your graveyard to your hand.",3,2,Uncommon,https://cards.scryfall.io/large/front/d/2/d2c70d86-1764-487d-a415-15ae79ba570c.jpg?1699044379
Colossadactyl,Creature — Dinosaur,{2}{G}{G},"Reach, trample",4,5,Uncommon,https://cards.scryfall.io/large/front/8/7/8702e776-be2c-48a9-9bc5-bb8ea514333b.jpg?1699044383
Cosmium Confluence,Sorcery,{4}{G},"Choose three. You may choose the same mode more than once.

• Search your library for a Cave card, put it onto the battlefield tapped, then shuffle.

• Put three +1/+1 counters on a Cave you control. It becomes a 0/0 Elemental creature with haste. It’s still a land.

• Destroy target enchantment.",,,Rare,https://cards.scryfall.io/large/front/4/9/490a5054-0607-4e4a-a0a9-0e9eea7adb00.jpg?1699044386
Disturbed Slumber,Instant,{1}{G},"Until end of turn, target land you control becomes a 4/4 Dinosaur creature with reach and haste. It’s still a land. It must be blocked this turn if able.",,,Common,https://cards.scryfall.io/large/front/4/4/4404b8d6-3673-4d82-b9ed-d28e9b54e1f6.jpg?1699044387
Earthshaker Dreadmaw,Creature — Dinosaur,{4}{G}{G},"Trample

When Earthshaker Dreadmaw enters the battlefield, draw a card for each other Dinosaur you control.",6,6,Uncommon,https://cards.scryfall.io/large/front/c/d/cdcbba6f-aa54-44be-a3b0-f712fa8bd5ad.jpg?1699044391
Explorer's Cache,Artifact,{1}{G},"Explorer’s Cache enters the battlefield with two +1/+1 counters on it.

Whenever a creature you control with a +1/+1 counter on it dies, put a +1/+1 counter on Explorer’s Cache.

{T}: Move a +1/+1 counter from Explorer’s Cache onto target creature. Activate only as a sorcery.",,,Uncommon,https://cards.scryfall.io/large/front/8/6/86b36214-9c7e-4a24-93d4-17b2d00cbc51.jpg?1699044394
"Ghalta, Stampede Tyrant",Legendary Creature — Elder Dinosaur,{5}{G}{G}{G},"Trample

When Ghalta, Stampede Tyrant enters the battlefield, put any number of creature cards from your hand onto the battlefield.",12,12,Mythic Rare,https://cards.scryfall.io/large/front/7/2/72e805e9-69be-45c1-aa04-f460641a0c1e.jpg?1699044395
Glimpse the Core,Sorcery,{1}{G},"Choose one —

• Search your library for a basic Forest card, put that card onto the battlefield tapped, then shuffle.

• Return target Cave card from your graveyard to the battlefield tapped.",,,Uncommon,https://cards.scryfall.io/large/front/d/e/de7d6aed-3dc8-417d-a190-1660cfc8ee4a.jpg?1699044400
Glowcap Lantern,Artifact — Equipment,{G},"Equipped creature has “You may look at the top card of your library any time” and “Whenever this creature attacks, it explores.” (Reveal the top card of your library. Put that card into your hand if it’s a land. Otherwise, put a +1/+1 counter on that creature, then put the card back or put it into your graveyard.)

Equip {2}",,,Uncommon,https://cards.scryfall.io/large/front/b/a/bafde87c-743d-4307-93e0-fbd30f5d92f6.jpg?1699044403
Growing Rites of Itlimoc,Legendary Enchantment,{2}{G},"When Growing Rites of Itlimoc enters the battlefield, look at the top four cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in any order.

At the beginning of your end step, if you control four or more creatures, transform Growing Rites of Itlimoc.",,,Rare,https://cards.scryfall.io/large/front/0/0/004524bf-b249-4dac-9c10-44d57143feb9.jpg?1699044409
"Itlimoc, Cradle of the Sun",Legendary Land,,"(Transforms from Growing Rites of Itlimoc.)

{T}: Add {G}.

{T}: Add {G} for each creature you control.",,,Rare,https://cards.scryfall.io/large/back/0/0/004524bf-b249-4dac-9c10-44d57143feb9.jpg?1699044409
"Huatli, Poet of Unity",Legendary Creature — Human Warrior Bard,{2}{G},"When Huatli, Poet of Unity enters the battlefield, search your library for a basic land card, reveal it, put it into your hand, then shuffle.

{3}{R/W}{R/W}: Exile Huatli, then return her to the battlefield transformed under her owner’s control. Activate only as a sorcery.",2,3,Mythic Rare,https://cards.scryfall.io/large/front/5/7/57df2563-18d4-4526-a8bc-0c114e6fd4d9.jpg?1699044416
Roar of the Fifth People,"Color Indicator: White, Red, and Green
          Enchantment — Saga",,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after IV.)

I — Create two 3/3 green Dinosaur creature tokens.

II — Roar of the Fifth People gains “Creatures you control have ‘{T}: Add {R}, {G}, or {W}.’”

III — Search your library for a Dinosaur card, reveal it, put it into your hand, then shuffle.

IV — Dinosaurs you control gain double strike and trample until end of turn.",2,3,Mythic Rare,https://cards.scryfall.io/large/back/5/7/57df2563-18d4-4526-a8bc-0c114e6fd4d9.jpg?1699044416
Huatli's Final Strike,Instant,{2}{G},Target creature you control gets +1/+0 until end of turn. It deals damage equal to its power to target creature an opponent controls.,,,Common,https://cards.scryfall.io/large/front/1/2/1247a5fa-b50a-4ab1-96ca-dbeb45bd0b56.jpg?1699044417
Hulking Raptor,Creature — Dinosaur,{2}{G}{G},"Ward {2}

At the beginning of your precombat main phase, add {G}{G}.",5,3,Rare,https://cards.scryfall.io/large/front/4/5/45f763af-5a6a-404c-8e8c-4dbed71277bc.jpg?1699044419
In the Presence of Ages,Instant,{2}{G},Reveal the top four cards of your library. You may put a creature card and/or a land card from among them into your hand. Put the rest into your graveyard.,,,Common,https://cards.scryfall.io/large/front/9/7/97b1be22-3177-49af-bb06-42497d717c21.jpg?1699044424
Intrepid Paleontologist,Creature — Human Druid,{1}{G},"{T}: Add one mana of any color.

{2}: Exile target card from a graveyard.

You may cast Dinosaur creature spells from among cards you own exiled with Intrepid Paleontologist. If you cast a spell this way, that creature enters the battlefield with a finality counter on it. (If a creature with a finality counter on it would die, exile it instead.)",2,2,Rare,https://cards.scryfall.io/large/front/8/7/871a164a-0fe6-480e-a1be-cbffce884bd3.jpg?1699044425
Ixalli's Lorekeeper,Creature — Human Druid,{G},{T}: Add one mana of any color. Spend this mana only to cast a Dinosaur spell or activate an ability of a Dinosaur source.,1,1,Uncommon,https://cards.scryfall.io/large/front/4/b/4bc94ded-458d-4458-9c0b-136d825b885d.jpg?1699044427
Jade Seedstones,Artifact,{3}{G},"When Jade Seedstones enters the battlefield, distribute three +1/+1 counters among one, two, or three target creatures you control.

Craft with creature {5}{G}{G} ({5}{G}{G}, Exile this artifact, Exile a creature you control or a creature card from your graveyard: Return this card transformed under its owner’s control. Craft only as a sorcery.)",7,7,Uncommon,https://cards.scryfall.io/large/front/b/b/bb95ffc2-ef35-49bf-8211-c5354d176051.jpg?1699122172
Jadeheart Attendant,"Color Indicator: Green
          Artifact Creature — Golem",,"When Jadeheart Attendant enters the battlefield, you gain life equal to the mana value of the exiled card used to craft it.",7,7,Uncommon,https://cards.scryfall.io/large/back/b/b/bb95ffc2-ef35-49bf-8211-c5354d176051.jpg?1699122172
Jadelight Spelunker,Creature — Merfolk Scout,{X}{G},"When Jadelight Spelunker enters the battlefield, it explores X times. (To have it explore, reveal the top card of your library. Put that card into your hand if it’s a land. Otherwise, put a +1/+1 counter on that creature, then put the card back or put it into your graveyard.)",1,1,Rare,https://cards.scryfall.io/large/front/6/8/68e633d3-47e2-48c5-9be3-574ce5023bf7.jpg?1699044435
Kaslem's Stonetree,Artifact,{2}{G},"When Kaslem’s Stonetree enters the battlefield, look at the top six cards of your library. You may put a land card from among them onto the battlefield tapped. Put the rest on the bottom in a random order.

Craft with Cave {5}{G} ({5}{G}, Exile this artifact, Exile a Cave you control or a Cave card from your graveyard: Return this card transformed under its owner’s control. Craft only as a sorcery.)",5,5,Common,https://cards.scryfall.io/large/front/7/8/78b1b412-228a-4e05-a4b3-8159ebf54dc6.jpg?1699044443
Kaslem's Strider,"Color Indicator: Green
          Artifact Creature — Golem",,"When Kaslem’s Stonetree enters the battlefield, look at the top six cards of your library. You may put a land card from among them onto the battlefield tapped. Put the rest on the bottom in a random order.

Craft with Cave {5}{G} ({5}{G}, Exile this artifact, Exile a Cave you control or a Cave card from your graveyard: Return this card transformed under its owner’s control. Craft only as a sorcery.)",5,5,Common,https://cards.scryfall.io/large/back/7/8/78b1b412-228a-4e05-a4b3-8159ebf54dc6.jpg?1699044443
Malamet Battle Glyph,Sorcery,{G},"Choose target creature you control and target creature you don’t control. If the creature you control entered the battlefield this turn, put a +1/+1 counter on it. Then those creatures fight each other.",,,Uncommon,https://cards.scryfall.io/large/front/2/2/2259f959-ca97-4df9-8d50-0532090fb967.jpg?1699044443
Malamet Brawler,Creature — Cat Warrior,{1}{G},"Whenever Malamet Brawler attacks, target attacking creature gains trample until end of turn.",2,2,Common,https://cards.scryfall.io/large/front/4/7/47d2fb65-cc3d-4664-bee0-8cf1cba5d8fa.jpg?1699044450
Malamet Scythe,Artifact — Equipment,{2}{G},"Flash

When Malamet Scythe enters the battlefield, attach it to target creature you control.

Equipped creature gets +2/+2.

Equip {4} ({4}: Attach to target creature you control. Equip only as a sorcery.)",,,Common,https://cards.scryfall.io/large/front/d/f/df6776a4-cc01-46a3-90df-04e1e3ba513c.jpg?1699044451
Malamet Veteran,Creature — Cat Warrior,{4}{G},"Trample

Descend 4 — Whenever Malamet Veteran attacks, if there are four or more permanent cards in your graveyard, put a +1/+1 counter on target creature.",5,4,Common,https://cards.scryfall.io/large/front/4/b/4b9b16b3-1cbd-4b63-85b2-e4053dfc1e93.jpg?1699044452
Mineshaft Spider,Creature — Spider,{3}{G},"Reach

When Mineshaft Spider enters the battlefield, you may mill two cards. (You may put the top two cards of your library into your graveyard.)",3,4,Common,https://cards.scryfall.io/large/front/b/7/b75a3639-a917-4700-a093-14a4cda78d9f.jpg?1699044458
Nurturing Bristleback,Creature — Dinosaur,{5}{G}{G},"When Nurturing Bristleback enters the battlefield, create a 3/3 green Dinosaur creature token.

Forestcycling {2} ({2}, Discard this card: Search your library for a Forest card, reveal it, put it into your hand, then shuffle.)",5,5,Common,https://cards.scryfall.io/large/front/0/8/081d5c9e-71da-4454-ae4e-c76cb7790d20.jpg?1699044460
"Ojer Kaslem, Deepest Growth",Legendary Creature — God,{3}{G}{G},"Trample

Whenever Ojer Kaslem deals combat damage to a player, reveal that many cards from the top of your library. You may put a creature card and/or a land card from among them onto the battlefield. Put the rest on the bottom in a random order.

When Ojer Kaslem dies, return it to the battlefield tapped and transformed under its owner’s control.",6,5,Mythic Rare,https://cards.scryfall.io/large/front/0/c/0cbc43a3-8cba-4988-9de1-c89aedd79ada.jpg?1699044466
Temple of Cultivation,Land,,"(Transforms from Ojer Kaslem, Deepest Growth.)

{T}: Add {G}.

{2}{G}, {T}: Transform Temple of Cultivation. Activate only if you control ten or more permanents and only as a sorcery.",6,5,Mythic Rare,https://cards.scryfall.io/large/back/0/c/0cbc43a3-8cba-4988-9de1-c89aedd79ada.jpg?1699044466
Over the Edge,Sorcery,{1}{G},"Choose one —

• Destroy target artifact or enchantment.

• Target creature you control explores, then it explores again. (Reveal the top card of your library. Put that card into your hand if it’s a land. Otherwise, put a +1/+1 counter on that creature, then put the card back or put it into your graveyard. Then repeat this process.)",,,Common,https://cards.scryfall.io/large/front/2/3/23dddddb-5409-4c28-bf32-e6473f2cc620.jpg?1699044468
Pathfinding Axejaw,Creature — Dinosaur,{3}{G},"When Pathfinding Axejaw enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it’s a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",4,3,Common,https://cards.scryfall.io/large/front/9/f/9f619075-ca5d-4e09-bd84-31e6b61eaa7e.jpg?1699044470
Poison Dart Frog,Creature — Frog,{1}{G},"Reach

{T}: Add one mana of any color.

{2}: Poison Dart Frog gains deathtouch until end of turn.",1,1,Common,https://cards.scryfall.io/large/front/6/2/62c1f09a-9d17-415c-8afa-cd0b62abe48d.jpg?1699044475
Pugnacious Hammerskull,Creature — Dinosaur,{2}{G},"Whenever Pugnacious Hammerskull attacks while you don’t control another Dinosaur, put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)",6,6,Rare,https://cards.scryfall.io/large/front/6/3/632e5635-a9bc-473a-a885-02e1fd258f7b.jpg?1699044476
River Herald Guide,Creature — Merfolk Scout,{2}{G},"Vigilance

When River Herald Guide enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it’s a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",3,1,Common,https://cards.scryfall.io/large/front/9/e/9ea7e323-f329-4928-b25a-c0b44c5ac058.jpg?1699044480
Seeker of Sunlight,Creature — Merfolk Scout,{G},"{2}{G}: Seeker of Sunlight explores. Activate only as a sorcery. (Reveal the top card of your library. Put that card into your hand if it’s a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",1,1,Common,https://cards.scryfall.io/large/front/f/f/ffcdb10f-4bad-4f89-8e7c-daa5c0c69230.jpg?1699044483
Sentinel of the Nameless City,Creature — Merfolk Warrior Scout,{2}{G},"Vigilance

Whenever Sentinel of the Nameless City enters the battlefield or attacks, create a Map token. (It’s an artifact with “{1}, {T}, Sacrifice this artifact: Target creature you control explores. Activate only as a sorcery.”)",3,4,Rare,https://cards.scryfall.io/large/front/e/e/eeeffc0b-dc92-458e-ad58-86ff6077a508.jpg?1699044484
The Skullspore Nexus,Legendary Artifact,{6}{G}{G},"This spell costs {X} less to cast, where X is the greatest power among creatures you control.

Whenever one or more nontoken creatures you control die, create a green Fungus Dinosaur creature token with base power and toughness each equal to the total power of those creatures.

{2}, {T}: Double target creature’s power until end of turn.",,,Mythic Rare,https://cards.scryfall.io/large/front/b/5/b56a7631-5f94-468d-aab7-7e9e129c5f49.jpg?1699044489
Spelunking,Enchantment,{2}{G},"When Spelunking enters the battlefield, draw a card, then you may put a land card from your hand onto the battlefield. If you put a Cave onto the battlefield this way, you gain 4 life.

Lands you control enter the battlefield untapped.",,,Uncommon,https://cards.scryfall.io/large/front/d/3/d3be4257-2316-4a2e-b347-f71c0368a947.jpg?1699044491
Staggering Size,Instant,{1}{G},Target creature gets +3/+3 and gains trample until end of turn.,,,Common,https://cards.scryfall.io/large/front/e/3/e34c4946-6c21-4ae1-9595-35933d38da52.jpg?1699044491
Tendril of the Mycotyrant,Creature — Fungus Wizard,{1}{G},{5}{G}{G}: Put seven +1/+1 counters on target noncreature land you control. It becomes a 0/0 Fungus creature with haste. It’s still a land.,2,2,Uncommon,https://cards.scryfall.io/large/front/a/f/afa464fe-978f-43de-ac35-79be4b12f0d9.jpg?1699044498
Thrashing Brontodon,Creature — Dinosaur,{1}{G}{G},"{1}, Sacrifice Thrashing Brontodon: Destroy target artifact or enchantment.",3,4,Uncommon,https://cards.scryfall.io/large/front/d/5/d52ef7c1-dacb-4204-b64e-5fa3ae3b1ace.jpg?1699044499
Twists and Turns,Enchantment,{G},"If a creature you control would explore, instead you scry 1, then that creature explores.

When Twists and Turns enters the battlefield, target creature you control explores.

When a land enters the battlefield under your control, if you control seven or more lands, transform Twists and Turns.",,,Uncommon,https://cards.scryfall.io/large/front/3/c/3cdf691e-96a5-45c7-9b94-6f04af81c8e4.jpg?1699044507
Mycoid Maze,Land — Cave,,"(Transforms from Twists and Turns.)

{T}: Add {G}.

{3}{G}, {T}: Look at the top four cards of your library. You may reveal a creature card from among them and put that card into your hand. Put the rest on the bottom of your library in a random order.",,,Uncommon,https://cards.scryfall.io/large/back/3/c/3cdf691e-96a5-45c7-9b94-6f04af81c8e4.jpg?1699044507
Walk with the Ancestors,Sorcery,{4}{G},Return up to one target permanent card from your graveyard to your hand. Discover 4. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.),,,Common,https://cards.scryfall.io/large/front/7/1/71a6f85b-5ef8-4526-9c86-7cb71508b4c0.jpg?1699044508
"Abuelo, Ancestral Echo",Legendary Creature — Spirit,{1}{W}{U},"Flying, ward {2}

{1}{W}{U}: Exile another target creature or artifact you control. Return it to the battlefield under its owner’s control at the beginning of the next end step.",2,2,Rare,https://cards.scryfall.io/large/front/4/0/40eee689-2514-421a-8056-eb7668be66ff.jpg?1699044511
"Akawalli, the Seething Tower",Legendary Creature — Fungus,{1}{B}{G},"Descend 4 — As long as there are four or more permanent cards in your graveyard, Akawalli, the Seething Tower gets +2/+2 and has trample.

Descend 8 — As long as there are eight or more permanent cards in your graveyard, Akawalli gets an additional +2/+2 and can’t be blocked by more than one creature.",3,3,Uncommon,https://cards.scryfall.io/large/front/3/e/3ee62dd1-97d0-4e5d-8937-26c9e51e9414.jpg?1699044515
Amalia Benavides Aguirre,Legendary Creature — Vampire Scout,{W}{B},"Ward—Pay 3 life.

Whenever you gain life, Amalia Benavides Aguirre explores. Then, destroy all other creatures if its power is exactly 20. (To have this creature explore, reveal the top card of your library. Put that card into your hand if it’s a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",2,2,Rare,https://cards.scryfall.io/large/front/9/a/9acf80a5-f2ca-45b4-aca8-fbc690e35401.jpg?1699044516
The Ancient One,Legendary Creature — Spirit God,{U}{B},"Descend 8 — The Ancient One can’t attack or block unless there are eight or more permanent cards in your graveyard.

{2}{U}{B}: Draw a card, then discard a card. When you discard a card this way, target player mills cards equal to its mana value.",8,8,Mythic Rare,https://cards.scryfall.io/large/front/6/6/66dd43d7-76a7-46ea-b431-097fcea417af.jpg?1699044521
